Title,Organization_name,Type,Traded as,ISIN,Industry,Predecessors,Headquarters,Area served,Key people,Products,Revenue,Operating income,Net income,Total assets,Total equity,Number of employees,Parent,Subsidiaries,Website
ThyssenKrupp,Thyssenkrupp AG,Aktiengesellschaft,FWB : TKA LSE : 0O1C,DE0007500001,['Conglomerate'],,"Duisburg and Essen, Germany",Worldwide,"['Executive board : Martina Merz (CEO) ', ' Oliver Burkhard', ' Johannes Dietsch', ' Klaus Keysberg Supervisory board : Siegfried Russwurm (Chairman)']","Steel, stainless products, automotive technologies, plant technologies, elevator systems, escalators, marine systems, shipbuilding, firearms",€ 34.77 billion (2018),€472 million (2018),€8.0 million (2018),€34.49 billion (2018),€2.80 billion (2018),"161,096 (2018)",,,www.thyssenkrupp.com
Atlas Elektronik,ATLAS ELEKTRONIK GmbH,GmbH,,,['Defence Marine electronics Marine engineering'],,"Bremen, Germany",,['Chairman: Dr. Peter Feldhaus'],,,,,,,,ThyssenKrupp Marine Systems,,www.atlas-elektronik.com/
The Coca-Cola Company,The Coca-Cola Company,Public,"NYSE: KO, DJIA component, S&P 100 component, S&P 500 component",US1912161007,['Beverage'],,"Atlanta, Georgia, United States",Worldwide,['James Quincey (Chairman and CEO) Brian Smith (President and COO)'],List of The Coca-Cola Company products,US$ 31.85 billion (2018),US$8.70 billion (2018),US$6.43 billion (2018),US$83.21 billion (2018),US$16.98 billion (2018),"62,600 (2018)",,['List of The Coca-Cola Company subsidiaries'],Coca-ColaCompany.com
Air Force Medical University,Air Force Medical University,Public university,,,,,,,,,,,,,,,,,www.fmmu.sn.cn
Washington University in St. Louis,Washington University in St. Louis,Private,,,,,,,,,,,,,,,,,wustl.edu
Medtronic,Medtronic plc,Public limited company,"NYSE: MDT, S&P 100 component, S&P 500 component",IE00BTN1Y115,['Medical equipment'],,"(Legal headquarters), 20 Lower Hatch Street, D02 XH02, Dublin, Ireland , (Operational headquarters), 710 Medtronic Parkway. Minneapolis, Minnesota",,"['Omar Ishrak (Chairman & CEO)', ' Karen L. Parkhill (CFO)']",Medical devices,(FY 28 April 2017),"US$ 5.33 billion, (FY 28 April 2017)","US$ 4.02 billion, (FY 28 April 2017)","US$ 99.82 billion, (FY 28 April 2017)","US$ 50.29 billion, (FY 28 April 2017)","98,003 (2020) [ citation needed ]",,,medtronic.com
LG Electronics,LG Electronics Inc.,Public,KRX : 066570 LSE : LGLD,US50186Q2021,['Consumer electronics Home appliances'],,"LG Twin Tower 128, Yeouido-dong, Yeongdeungpo District, Seoul, South Korea",Worldwide,['Kwang-Mo Koo (Chairman) Jo Seong-Jin (Vice Chairman and CEO) Jung Do-Hyun (President and CFO) I.P. Park (President and CTO)'],See products listing,US$ 54.398 billion (2018),US$2.397 billion (2018),US$1.306 billion (2018),US$39.931 billion (2018),US$14.461 billion (2018),"72,600+ (2019)",LG Corporation,['Zenith Electronics'],lg.com
Fred Hutchinson Cancer Research Center,Fred Hutchinson Cancer Research Center,Nonprofit organization,,,,,"Seattle, Washington, U.S.",,,,,,,,,,,,fredhutch.org
IBM,International Business Machines Corporation,Public,"NYSE: IBM, DJIA Component, S&P 100 Component, S&P 500 Component",US4592001014,['Cloud computing Artificial intelligence Computer hardware Computer software'],,"Armonk, New York, U.S.",177 countries,"['Ginni Rometty (CEO) Arvind Krishna (CEO', ' effective April 6', ' 2020)']",See IBM products,US$ 77.1 billion (2019),US$ 13.21 billion (2018),US$ 9.4 billion (2019),US$ 152.2 billion (2019),US$ 16.79 billion (2018),"350,600 (2018)",,,www.ibm.com
University of Hanover,Leibniz University Hannover,Public,,,,,,,,,,,,,,,,,www.uni-hannover.de
University of North Texas,University of North Texas,Flagship state university,,,,,,,,,,,,,,,,,www.unt.edu
Hitachi,"Hitachi, Ltd.",Public KK,TYO : 6501 Nikkei 225 component TOPIX Core30 component,JP3788600009,['Conglomerate'],,"Marunouchi, Chiyoda-ku, Tokyo, Japan",Worldwide,"['Hiroaki Nakanishi (chairman)', ' Toshiaki Higashihara\u200b (president and CEO)']","Electronics, Industrial machinery, Telecoms equipment, Power plants, Information system, Materials, Auto parts, Power tools, Elevator & Escalator, Defense technology, Heavy equipment",¥ 9.480 trillion (2019),¥516.5 billion (2019),¥321.0 billion (2019),¥9.626 trillion (2019),¥3.262 trillion (2019),"307,275 (2019)",,,www.hitachi.com
Eni,Eni S.p.A.,Listed,BIT : ENI NYSE : E FTSE MIB Component,IT0003132476,['Oil and gas'],,"Rome, Italy",Worldwide,['Emma Marcegaglia [ it ] (Chairman) Claudio Descalzi (CEO)'],Petroleum Natural gas Petroleum products Energy,€ 76.938 billion (2018),€9.983 billion (2018),€4.126 billion (2018),€118.373 billion (2018),€51.016 billion (2018),"30,950 (2018)",,"['Eni Gas & Power', ' Saipem', ' Eni Rewind', ' EniProgetti', ' Versalis']",www.eni.com
Nippon Steel,Nippon Steel Corporation,Public KK,TYO : 5401 NAG : 5401 FSE : 5401 SSE : 5401 TOPIX Large70 component,JP3381000003,['Steel'],"Old Nippon Steel, Sumitomo Metal Industries","Chiyoda, Tokyo, Japan",,"['Akio Mimura', ' Representative Director & President']","Steel, flat steel products, long steel products, wire products, plates, chemicals",¥ 4.632 trillion (2017),¥114.20 billion (2017),¥130.94 billion (2017),¥7.261 trillion (2017),¥3.291 trillion (2017),"92,309 (2017)",,['Nippon Steel Engineering Nippon Steel Materials Nippon Steel Chemical'],www.nipponsteel.com
Citrix Systems,"Citrix Systems, Inc",Public,NASDAQ : CTXS NASDAQ-100 Component S&P 500 Component,US1773761002,"['Cloud computing', ' Computer software']",,"Fort Lauderdale, Florida, U.S. Santa Clara, California, U.S.",Global,['Robert Calderoni (Chairman) David Henshall (CEO) Mark Schmitz (COO)'],"Application Delivery Industry, Virtualization software (DaaS), SaaS, cloud, and networking",US$2.54 billion (2018),US$629.45 million (2018),US$575.67 million (2018),US$5.14 billion (2018),US$551.52 million (2018),"8,200 (2018)",,,www.citrix.com
British Aerospace,British Aerospace plc,,,,['Aerospace'],,"Farnborough, Hampshire, United Kingdom",,,Aircraft,,,,,,,,['Rover Group (1988–1994)'],bae.co.uk(archived)
Southwest Research Institute,Southwest Research Institute,Independent research and development,,,,,"San Antonio, Texas, United States",,,,Nearly $674 million (FY 2019),,,,,"Nearly 3,000 (FY 2019)",,,swri.org
Foxconn,Hon Hai Precision Industry Co. Ltd.,Public,TWSE : 2317,TW0002317005,['Electronics'],,"Tucheng District, New Taipei",Worldwide,['Terry Gou (Chairman and President)'],"Electronics, electronic components, PCBs, PCB components, computer chips.",NT$ 4.706 trillion (2017),NT$112.6 billion (2017),NT$135.4 billion (2017),NT$3.407 trillion (2017),NT$1.171 trillion (2017),"803,126 (2017) [ failed verification ]",,"['Sharp Corporation', ' Smart Technologies', ' FIH Mobile', ' Belkin']",www.foxconn.com
Thien Nguyen,Thien Nguyen,,,,,,,,,,,,,,,,,,
Brunswick Corporation,Brunswick Corporation,Public,NYSE : BC S&P 400 Component,US1170431092,['Conglomerate'],,"Mettawa, IL , U.S.",Worldwide,['Manuel A. Fernandez (Chairman of the Board) & David Foulkes (CEO)'],,US$4.489 billion (2016),US$409 million (2016),US$276 million (2016),US$3.285 billion (2016),US$1.44 billion (2016),"15,116 (2017)",,,Brunswick.com
Sulzer (manufacturer),Sulzer,Public (SIX : SUN),,,['Industrial engineering and manufacturing'],,"Winterthur, Switzerland",,['Greg Poux-Guillaume (CEO) Peter Loescher (Chairman) )'],"Pumps, plant engineering, applicators, rotating equipment service",3.05 Billion CHF (2017),CHF 282 million,,,,"14,732 (end of 2017)",,,www.sulzer.com
Agilent Technologies,"Agilent Technologies, Inc.",Public company,"NYSE: A, S&P 500 component",US00846U1016,['Healthcare equipment and services'],Medical Products and Instrument Group of HP,"Santa Clara, California, United States",Worldwide,['Mike McMullen (CEO)'],"Instruments, software, services and consumables for laboratory use",US$2.522 billion (2019),US$446 million (2019),US$686 million (2019),US$12.534 billion (2019),US$5.125 billion (2019),"13,500 (2019)",,,www.agilent.com
Arkansas State University,Arkansas State University,Public,,,,,,,,,,,,,,,,,www.astate.edu
Temple University,Temple University,Public (formerly private) State-related Multi-campus International,,,,,,,,,,,,,,,,,temple.edu
Synchrony Financial,Synchrony,Public company,NYSE : SYF S&P 500 Component,,['Financial services'],,"Stamford, Connecticut, United States",,['Margaret M. Keane (CEO)|Brian Doubles (President)'],Credit cards Payment systems,US$ 14.8 billion (2018),,US$ 2.79 billion (2018),US$ 106.792 billion (2018),US$ 14.678 billion (2018),"16,500 (2018)",,,synchrony.com
Cisco Systems,"Cisco Systems, Inc.",Public,"NASDAQ: CSCO, NASDAQ-100 component, DJIA component, S&P 100 component, S&P 500 component",US17275R1023,['Networking hardware Networking software'],,"San Jose, California, United States",Worldwide,['Chuck Robbins (CEO and Chairman)'],List of Cisco products,US$51.90 billion (2019),US$14.21 billion (2019),US$11.62 billion (2019),US$97.79 billion (2019),US$33.57 billion (2019),"75,900 (2019)",,['List of acquisitions by Cisco Systems'],cisco.com
Saab Automobile,Saab Automobile AB,,,,['Automotive'],,"Trollhättan, Sweden",Worldwide,,Automobiles,,,,,,,Saab AB (1945–1968) Saab-Scania (1968–1990) General Motors (1990–2010) Spyker N.V. (2010–2012) National Electric Vehicle Sweden (2012–present),,saabcars.com
University of Florida,University of Florida,State university Flagship Land-grant university Sea-grant university Space-grant university,,,,,,,,,,,,,,,,,www.ufl.edu
IBM,International Business Machines Corporation,Public,"NYSE: IBM, DJIA Component, S&P 100 Component, S&P 500 Component",US4592001014,['Cloud computing Artificial intelligence Computer hardware Computer software'],,"Armonk, New York, U.S.",177 countries,"['Ginni Rometty (CEO) Arvind Krishna (CEO', ' effective April 6', ' 2020)']",See IBM products,US$ 77.1 billion (2019),US$ 13.21 billion (2018),US$ 9.4 billion (2019),US$ 152.2 billion (2019),US$ 16.79 billion (2018),"350,600 (2018)",,,www.ibm.com
Industrial and Commercial Bank of China,Industrial and Commercial Bank of China Limited,Public ; State-owned enterprise,"SSE: 601398 (A ordinary), SEHK: 1398 (H ordinary), SSE: 360011 (CNY Preference), SEHK: 84602 (CNH Preference), SEHK: 4603 (US$ Preference), SEHK: 4604 (€ Preference), Hang Seng Component",CNE1000003G1,['Banking Financial services Investment services'],,"Beijing, China",,['Si Qing Chen (Chairman) Gu Shu (Chief Executive Officer)'],Finance and insurance Consumer banking Corporate banking Investment banking Investment management Global wealth management Private equity Mortgage loans Credit cards,CN¥ 725.12 billion $105.4 billion (2018),CN¥ 369.32 billion $53.68 billion (2018),CN¥ 298.72 billion $43.42 billion (2018),CN¥ 27.70 trillion US$4027.44 billion (2018),CN¥ 2.33 trillion $338.7 billion (2018),"453,048 (2018)",,,icbc.com.cn
Software AG,Software AG,Aktiengesellschaft,FWB : SOW,DE0003304002,['Computer software'],,"Darmstadt, Germany",,"['Sanjay Brahmawar (CEO and chairman of the management board)', ' Andreas Bereczky (Chairman of the supervisory board)']","Digital Transformation & Internet of Things software and consulting including ARIS, webMethods, Adabas & Natural, NaturalONE, Apama, Cumulocity, Zementis, Alfabet, Mashzone Nextgen, CONNX, and Terracotta",€865 million (2018),,€195.0 million (2018),,,"4,763 (FTE, 2018)",,,www.softwareag.com
"University of Science, Malaysia",Universiti Sains Malaysia,Public research university,,,,,,,,,,,,,,,,,www.usm.my
Shanghai Maritime University,Shanghai Maritime University,Public,,,,,,,,,,,,,,,,,www.shmtu.edu.cn
New Jersey Institute of Technology,,Public Research Sea grant,,,,,,,,,,,,,,,,,www.njit.edu
Jim Hudson,Jim Hudson,,,,,,,,,,,,,,,,,,
Schlumberger,Schlumberger,Public company,NYSE : SLB S&P 100 component S&P 500 component Fortune 500,AN8068571086,['Oilfield services & equipment'],,"Principal executive offices: Paris, France Houston, Texas, US London, UK The Hague, Netherlands; Legal domicile: Willemstad, Curaçao, Kingdom of the Netherlands",Worldwide,['Olivier Le Peuch (CEO)'],,US$ 32.815 billion (2018),US$ 4.187 billion (2018),US$ 2.138 billion (2018),US$ 77.96 billion (2016),US$ 41.08 billion (2016),"100,000",,,www.slb.com
"Facebook, Inc.","Facebook, Inc.",Public,"NASDAQ: FB (Class A), NASDAQ-100 component, S&P 100 component, S&P 500 component",US30303M1027,"['Social media', ' Advertising']",,"Menlo Park, California, U.S.",Worldwide (except blocked countries),"['Mark Zuckerberg (Chairman', ' CEO', ' Controlling Shareholder)', ' Sheryl Sandberg (COO)', ' David Wehner (CFO)', ' Mike Schroepfer (CTO)']","Facebook, Instagram, Messenger, WhatsApp, Watch, Portal, Oculus, Calibra",US$ 70.697 billion (2019),US$ 23.986 billion (2019),US$ 18.485 billion (2019),US$ 133.376 billion (2019),US$ 101.054 billion (2019),"44,942 (December 31, 2019)",,,about.fb.com
"Nike, Inc.","Nike, Inc.",Public,"NYSE: NKE (Class B), DJIA component, S&P 100 component, S&P 500 component",US6541061031,"['Apparel', ' Accessories', ' Sports equipment']",,"Beaverton, Oregon, U.S.",Worldwide,"['Phil Knight', ' (Chairman Emeritus)', ' Mark Parker', ' (Executive Chairman)', ' John Donahoe', ' (President and CEO)']","Athletic footwear & apparel, Athletic & recreational products, Sports equipment",US$ 36.39 billion (2018),US$ 4.44 billion (2018),US$ 1.93 billion (2018),US$ 22.53 billion (2018),US$ 9.81 billion (2018),"73,100 (2018)",,,nike.com
Nippon Steel,Nippon Steel Corporation,Public KK,TYO : 5401 NAG : 5401 FSE : 5401 SSE : 5401 TOPIX Large70 component,JP3381000003,['Steel'],"Old Nippon Steel, Sumitomo Metal Industries","Chiyoda, Tokyo, Japan",,"['Akio Mimura', ' Representative Director & President']","Steel, flat steel products, long steel products, wire products, plates, chemicals",¥ 4.632 trillion (2017),¥114.20 billion (2017),¥130.94 billion (2017),¥7.261 trillion (2017),¥3.291 trillion (2017),"92,309 (2017)",,['Nippon Steel Engineering Nippon Steel Materials Nippon Steel Chemical'],www.nipponsteel.com
Textron,Textron Inc.,Public,"NYSE: TXT, S&P 500 Component",US8832031012,['Aerospace industry Automotive industry Defence industry'],,"Providence, Rhode Island, US",,"['Scott C. Donnelly (Chairman', ' CEO', ' President', ' Member of the Management Committee)']",,US$ 13.423 billion (2015),US$698 million (2015),US$698 million (2015),US$14.708 billion (2015),US$4.964 billion (2015),"35,000 (2015)",,"['AAI Corporation', ' Able Aerospace Services', ' Advanced Information Solutions', ' Arctic Cat', ' Avco', ' Beechcraft', ' Bell Helicopter', ' Cessna Aircraft', ' E-Z-GO', ' Geospatial Solutions', ' Greenlee', ' Jacobsen Manufacturing', ' Kautex', ' Lycoming Engines', ' Textron AirLand', ' Textron Marine & Land Systems', ' Textron Weapon & Sensor Systems', ' TRU Simulation & Training']",www.textron.com
Vickers Shipbuilding and Engineering,Vickers Shipbuilding & Engineering Limited (VSEL),,,,['Shipbuilding Marine Engineering'],,"Barrow-in-Furness, England",,,,,,,,,,,,
Alibaba Group,Alibaba Group Holding Limited,Public,"NYSE: BABA, SEHK: 9988",US01609W1027,['Conglomerate'],,"No. 969 West Wen Yi Road , Yuhang District, Hangzhou, Zhejiang",Worldwide,"['Daniel Zhang', 'executive chairman and CEO', ' Joseph Tsai', 'executive vice chairman', ' J. Michael Evans', ' president']","E-commerce, Cloud computing, Entertainment, Mobile commerce, Retail, Mobile media, Films, TV shows","CN¥ 376.844 billion (US$56.152 billion, 2019)","CN¥57.084 billion (US$8.506 billion, 2019)","CN¥80.234 billion (US$11.955 billion, 2019)","CN¥965.076 billion (US$143.801 billion, 2019)","CN¥608.583 billion (US$90.681 billion, 2018)","101,958 (March 31, 2019)",,['See companies and affiliated entities'],AlibabaGroup.com
J.M. Huber Corporation,J.M. Huber Corporation,Private,,,,,"Edison, New Jersey, United States",,['Michael Marberry (CEO)'],,,,,,,,,,huber.com
Case Western Reserve University,Case Western Reserve University,Private university,,,,,,,,,,,,,,,,,www.case.edu
Halliburton,Halliburton Company,Public,"NYSE: HAL, S&P 500 component",US4062161017,['Oilfield services & equipment'],,"Houston Center, Houston, Texas, U.S.",Worldwide,"['Jeff Miller (president', ' CEO', ' & \u200b chairman of the board)']",Products and services to the energy industry,US$ 23.995 billion (2018),US$ 2.467 billion (2018),US$ 1.656 billion (2018),US$ 25.085 billion (2017),US$ 8.349 billion (2017),"55,000 (2017)",,,Halliburton.com
United Technologies,United Technologies Corporation,Public,NYSE : UTX DJIA Component S&P 100 Component S&P 500 Component,US9130171096,['Conglomerate'],,"Farmington, Connecticut, United States",Worldwide,"['Gregory J. Hayes', ' (President', ' Chairman and CEO)']",,US$ 66.501 billion (2018),US$8.553 billion (2018),US$5.269 billion (2018),US$134.211 billion (2018),US$38.446 billion (2018),"240,000 (2018)",,,www.utc.com
University of Delaware,University of Delaware,Private / Public Land Grant Sea Grant Space Grant,,,,,,,,,,,,,,,,,www.udel.edu
University of Hawaii,University of Hawaiʻi System,,,,,,,,,,,,,,,,,,www.hawaii.edu
CAE Inc.,CAE Inc.,Public,TSX : CAE NYSE : CAE S&P/TSX Composite Component,CA1247651088,['Aerospace'],,"Montreal, Quebec, Canada",,['Marc Parent( CEO)'],"Full flight simulators, Visual Solutions, Commercial Aviation Training, Military Training, Healthcare Simulation Solutions, Public Safety and Security Solutions",$3.304 billion CAD (2019),,,,,"10,000 (2019)",,,www.cae.com
Siemens,Siemens AG,Aktiengesellschaft,FWB : SIE DAX Component,DE0007236101,['Conglomerate'],,"Werner-von-Siemens-Straße 1, 80333 Munich, Germany",Worldwide,['Joe Kaeser (CEO) Ralf P. Thomas (CFO) Managing Board Joe Kaeser Roland Busch Klaus Helmrich Cedrik Neike Michael Sen'],"Power generation technology, industrial and buildings automation, medical technology, railway vehicles, water treatment systems, fire alarms, PLM software",€86.849 billion (2019),€7.518 billion (2019),€5.648 billion (2019),€150.248 billion (2019),€50.984 billion (2019),"385,000(2019)",,,www.siemens.com
Ohio University,Ohio University,Public Space grant,,,,,,,,,,,,,,,,,https://www.ohio.edu/library/
Robert Bosch GmbH,Robert Bosch GmbH,GmbH (Private company),,,['Conglomerate'],,"Robert-Bosch-Platz 1, 70839 Gerlingen, Germany",Worldwide,"['Volkmar Denner (CEO) ', ' Michael Bolle (CTO', ' CDO)']","Automotive parts, power tools, security systems, home appliances, engineering, electronics, cloud computing, IoT",€ 78.5 billion (2018),€5.5 billion (2018),€4.1 billion (2018),€83.87 billion (2018),€36.08 billion (2018),"400,100 (March 2019)",,"['BSH Hausgeräte', ' ETAS', ' Bosch Rexroth']",bosch.com
Teledyne Technologies,"Teledyne Technologies, Inc.",Public company,NYSE : TDY S&P 400 Component,,['Conglomerate'],,"Thousand Oaks, CA, US",Worldwide,['Robert Mehrabian (Executive Chairman)'],,US$ 2.902 billion (2018),$ 447 million (2018),$ 333.8 million (2018),$ 3.809 billion (2018),$ 2.229 billion (2018),"10,850 (2018)",,,Teledyne.com
University of Science and Technology Beijing,University of Science and Technology Beijing,Public,,,,,,,,,,,,,,,,,www.ustb.edu.cn/(in Chinese)en.ustb.edu.cn/(in English)
Option N.V.,Option,Public – NV (Euronext : OPTI),,,"['Telecommunications', ' Wireless technology']",,"Leuven, Belgium",,"['Jan Callewaert', ' Founder in 1986 & current CEO']",Data cards Embedded wireless modules Mobile connectivity devices Software,€4.3 million (2016),,€7.5 million (2016),,,38 as of 2016,,,www.option.com
General Dynamics,General Dynamics Corporation,Public,"NYSE: GD, S&P 100 Component, S&P 500 Component",US3695501086,['Aerospace Defense Shipbuilding'],,"Reston, Virginia, United States",Worldwide,['Phebe Novakovic (Chairman and CEO)'],"Business jets, Combat vehicles and tanks, Fighter jets, Weapon systems, Autocannons and rotary cannons, Munitions, Watercraft, Submarines, Communications systems, command and control, & IT systems",US$ 36.19 billion (2018),US$4.45 billion (2018),US$3.34 billion (2018),US$45.40 billion (2018),US$11.73 billion (2018),"35,000 (2020) [ citation needed ]",,,www.gd.com
Hebei University of Technology,Hebei University of Technology,Public,,,,,,,,,,,,,,,,,http://www.hebut.edu.cn/(中文)http://eweb.hebut.edu.cn/(English)
Fidelis Cybersecurity,Fidelis Cybersecurity,Corporation,,,"['Network Security', ' Endpoint Security', ' Cyber Deception']",,"Bethesda, MD, United States of America",,,"Threat Detection, Threat Hunting and Automated Response",,,,,,,,,http://www.fidelissecurity.com
Shell Oil Company,Shell Oil Company,Wholly Owned Subsidiary,,,['Oil and gas'],,"Houston, Texas, United States",,['Gretchen Watkins (President)'],,US$ 37.376 billion (2013/2016),,,,,,Royal Dutch Shell,,www.shell.us
University of South Florida,University of South Florida,Public university Space-grant university,,,,,,,,,,,,,,,,,usf.edu
Dow Corning,Dow Corning Corp.,Subsidiary,,,['Manufacturing'],,"Midland, Michigan",,"['Mauro Gregorio', ' CEO & President']","Speciality chemicals, silicon derived polymers",$6.12 billion (2012),,,,,"12,000",DowDuPont,,www.dowcorning.com
University of Texas System,University of Texas System,State university system,,,,,,,,,,,,,,,,,www.utsystem.edu
Tarlochan Singh,,,,,,,,,,,,,,,,,,,
Rhode Island Hospital,,,,,,,,,,,,,,,,,,,http://www.rhodeislandhospital.org/
FedEx,FedEx Corporation,Public,"NYSE: FDX, DJTA component, S&P 100 component, S&P 500 component",US31428X1063,['Courier'],,"Memphis, Tennessee, U.S.",Worldwide,"['Frederick W. Smith(Chairman & CEO)', ' Raj Subramaniam(COO)']","Post delivery, express mail, freight forwarding, third-party logistics",US$ 65.450 billion (2018),US$4.870 billion (2018),US$4.572 billion (2018),US$52.330 billion (2018),US$19.416 billion (2018),"425,000 (2018)",,"['Office', ' Express', ' Ground', ' Freight', ' Supply Chain', ' Custom Critical', ' Trade Networks', ' Services', ' FedEx Logistics']",www.fedex.com
Arconic,Arconic Inc.,Public,"NYSE: ARNC, S&P 500 component",US03965L1008,['Manufacturing'],,"201 Isabella Street, Pittsburgh, Pennsylvania , United States",,['John C. Plant (CEO)'],,$ 14 billion (FY 2018),$ 1.3 billion (FY 2018 ATOI),$ 0.64 billion (FY 2018),$ 18.70 billion (FY 2018),$ 6.5 billion (FY 2018),"41,500 (October 2018)",,,arconic.com
University of Miami,University of Miami,Private,,,,,,,,,,,,,,,,,miami.edu
National Institute for Materials Science,National Institute for Materials Science,Independent Administrative Institution,,,,,,,,,,,,,,,,,www.nims.go.jp/eng
Littelfuse,"Littelfuse, Inc.",Public,NASDAQ : LFUS S&P 400 component,US5370081045,"['Electronics', ' Automotive', ' Electrical and Silicon']",,"Chicago, Illinois, United States",,['CEO David W. Heinzmann'],"Fuses, Gas discharge tubes, Varistors, Thyristors, ESD suppressors, semiconductors, protection relays, sensors",US$ 1.7 billion (2016),,US$104.5 million (2016),,,"12,000 (09/2017)",,,http://www.littelfuse.com/
Volkswagen Group,Volkswagen AG,Public (Aktiengesellschaft),"FWB : VOW, VOW3",DE0007664005,['Automotive'],,"Wolfsburg, Germany",Worldwide,['Hans Dieter Pötsch (Chairman of the Supervisory Board) Dr. Herbert Diess (Chairman of the Board of Management)'],"Automobiles, commercial vehicles, internal combustion engines, motorcycles, turbomachinery",€ 235.849 billion (US$ 278 billion) (2018),€13.920 billion (2018),€11.844 billion (2018),€458.156 billion (2018),€117.117 billion (2018),"302,554 (salaried staff)(2018)",,"['AudiDucatiBentley Bugatti Jetta LamborghiniMAN Navistar International (16.9%)NeoplanPorschePorsche HoldingScaniaSEATŠKODATRATONVolkswagenVolkswagen Commercial VehiclesVolkswagen Marine', ' Italdesign Giugiaro', ' Volkswagen Financial Services AGVolkswagen Leasing GmbH Volkswagen Immobilien', ' Volkswagen Group Fleet InternationalVolkswagen Group SupplyVolkswagen Air Service', ' Volkswagen Industrial Motor', ' Volkswagen Group ChinaŠkoda Auto Volkswagen IndiaVolkswagen Group of AmericaVolkswagen Group AustraliaVolkswagen Group CanadaVolkswagen Group MalaysiaVolkswagen do BrasilVolkswagen Group IrelandVolkswagen Group ItaliaVolkswagen of South AfricaVolkswagen Group United Kingdom']",www.volkswagenag.com
Thales Group,Thales S.A.,Société Anonyme,Euronext : HO CAC 40 Component,FR0000121329,"['Aerospace', ' Defence', ' Transport', ' Security']",,"La Défense, France",Worldwide,['Patrice Caine (CEO)'],"Tactical radios, Remote controlled weapon stations, radars, infantry mobility vehicles, aerospace electronics",€ 15.86 billion (2018),€1.178 billion (2018),€982 million (2018),,,"80,000 (2019)",,"['Thales Communications', ' Thales Air Defence', ' Thales Underwater Systems', ' Thales Services', ' Thales Nederland', ' Thales Australia', ' Thales Training & Simulation', ' Thales Alenia Space', ' Thales Elektronic Systems GmbH', ' SYSGO', ' Vormetric']",www.thalesgroup.com/
K12 (company),K12 Inc.,Publicly held,NYSE : LRN Russell 2000 Component,,['Education'],,"Herndon, Virginia",International,['Nathaniel Davis Chairman Stuart Udell CEO'],"education software, textbooks, workbooks",$888.5 million (FY 2017),$13.1 million (FY 2017),,,$574.4 million (FY 2017),"4,750 (FY 2017)",,,K12 Inc. Home Page
University of Minnesota,University of Minnesota,Public Flagship university Land grant Space grant,,,,,,,,,,,,,,,,,www.umn.edu
Rheinmetall,Rheinmetall AG,Aktiengesellschaft,FWB : RHM,DE0007030009,['Defence'],,"Düsseldorf, Germany",,['Armin Papperger (CEO and chairman of the executive board) Ulrich Grillo (Chairman of the supervisory board)'],"Automotive parts, military vehicles, Autocannons, ATGMs, Anti-aircraft defence systems, artillery, mortars, tank guns, munitions, ammunition, fuze systems, electronics",€6.148 billion (2018),€492 million (2018),€354 million (2018),€6.759 billion (end 2018),€2.172 billion (end 2018),"24,949 (2018)",,['Rheinmetall MAN Military Vehicles (51 %)'],www.rheinmetall.com
Alcoa,Alcoa Corporation,Public,"NYSE: AA, Russell 1000 Component",US0138721065,['Metals'],,"Pittsburgh, Pennsylvania",Worldwide,"['Michael Morris(Chairman)', ' Roy Harvey(CEO)']","Bauxite, Alumina, Aluminium",US$ 11.652 billion (2017),US$1.205 billion (2017),US$217 million (2017),US$17.447 billion (2017),US$4.523 billion (2017),"~14,600 (December 2017)",,,alcoa.com
Alenia Aeronautica,Alenia Aeronautica S.p.A.,,,,['Aerospace and defence'],,"Rome, Italy",,,Combat and Defense Aircraft Trainer Aircraft (Alenia Aermacchi) Military Air Lifters Patrol Aircraft Regional Turboprop (ATR) Regional Turbofan (Superjet-100),€ 2.53 billion (FY 2008),,€250 million,,,"13,910",Leonardo S.p.A.,['Alenia North America ATR Superjet 100'],www.leonardocompany.com/en
Nordion,Nordion Inc.,Subsidiary,,CA55269P3025,['Health Science'],,"Ottawa, Ontario, Canada",Global,['Kevin Brooks'],"Gamma Technologies, Medical Isotopes",$244.8 million USD (2012),,,,,~350 (2015),Sotera Health LLC,,nordion.com
Bill Frieder,Bill Frieder,,,,,,,,,,,,,,,,,,
CBS Interactive,CBS Interactive Inc.,Subsidiary,,,['Online media'],,"235 Second Street, San Francisco, California, 94105, United States",,['Marc DeBevoise (President)'],,,,,,,"2,080 (CNET, 2006)",CBS Entertainment Group (ViacomCBS),,www.cbsinteractive.com
Teijin,Teijin Limited ,Public (K.K),TYO : 3401 Nikkei 225 Component,JP3544000007,['Chemicals'],,"Teijin Building 6-7, Minami-hommachi 1-chome, Chuo-ku, Osaka 541-8587, Japan",,['Jun Suzuki (President and CEO)'],"Cordley, Panlite, Technora, Teijinconex, Teonex, Tenax, Tetoron, Twaron",$ 7.64 billion (FY 2013) (¥ 784.42 billion) (FY 2013),,$ 81.5 million (FY 2013) (¥ 8.35 billion) (FY 2013),,,"15,756 (consolidated, as of March 31, 2014)",,,Official website
Virginia Commonwealth University,Virginia Commonwealth University,Public,,,,,,,,,,,,,,,,,www.vcu.edu
